# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04811e-05 to 26.3542 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime       17:delta_shift_over_w_Nb    18:t_g                   19:t_b                   20:t_cdm                 21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot                 26:shear_ncdm[0]         27:shear_ncdm[1]         28:shear_ncdm[2]         29:cs2_ncdm[0]           30:cs2_ncdm[1]           31:cs2_ncdm[2]           32:l3_ncdm[0]            33:l3_ncdm[1]            34:l3_ncdm[2]         
       1.048107022299e-05      -4.063506021210e-05      -3.047666983858e-05      -3.047667034404e-05      -4.063503641696e-05      -3.595749292425e-05      -3.595749292425e-05      -3.595749292425e-05      -3.058382530510e-05       6.054345286324e-01       5.990722020437e-01       5.997454686104e-05       5.008946986979e-08       9.999993658495e-01      -2.007549122133e-10       6.219522508182e-10      -1.631323045064e-07       2.444180278092e-08       2.444246991307e-08       2.444246997537e-08       2.444178560721e-08       2.444196887591e-08       2.444196887591e-08       2.444196887591e-08       2.444245986966e-08       4.979692920157e-06       4.979692920157e-06       4.979692920157e-06       2.216398329543e-01       2.216398329543e-01       2.216398329543e-01       2.742192630997e-08       2.742192630997e-08       2.742192630997e-08 
       1.319488564652e-05      -6.440174530121e-05      -4.830225012494e-05      -4.830225139460e-05      -6.440168553083e-05      -5.698840803188e-05      -5.698840803188e-05      -5.698840803188e-05      -4.847207481411e-05       6.054342574572e-01       5.990719987800e-01       9.505322725457e-05       7.938643021249e-08       9.999989949430e-01      -3.181736448469e-10       9.857192924792e-10      -2.585459224382e-07       3.873701857189e-08       3.873869432315e-08       3.873869447964e-08       3.873697543409e-08       3.873743578114e-08       3.873743578114e-08       3.873743578114e-08       3.873866909538e-08       7.892202779988e-06       7.892202779988e-06       7.892202779988e-06       2.216397732049e-01       2.216397732049e-01       2.216397732049e-01       5.471350938094e-08       5.471350938094e-08       5.471350938094e-08 
       1.661137684613e-05      -1.020686697376e-04      -7.655386634929e-05      -7.655386953857e-05      -1.020685196030e-04      -9.031959140958e-05      -9.031959140958e-05      -9.031959140958e-05      -7.682300708056e-05       6.054338293833e-01       5.990716795617e-01       1.506491533926e-04       1.258189380498e-07       9.999984070956e-01      -5.042670723627e-10       1.562238080639e-09      -4.097642807630e-07       6.139245864923e-08       6.139666791025e-08       6.139666830335e-08       6.139235029478e-08       6.139350662099e-08       6.139350662099e-08       6.139350662099e-08       6.139660454151e-08       1.250809775207e-05       1.250809775207e-05       1.250809775207e-05       2.216396785082e-01       2.216396785082e-01       2.216396785082e-01       1.091664413104e-07       1.091664413104e-07       1.091664413104e-07 
       2.091248443648e-05      -1.617648807731e-04      -1.213295987441e-04      -1.213296067551e-04      -1.617645036616e-04      -1.431445232799e-04      -1.431445232799e-04      -1.431445232799e-04      -1.217561247442e-04       6.054331521149e-01       5.990711743554e-01       2.387626685131e-04       1.994093905029e-07       9.999974754244e-01      -7.991990001530e-10       2.475926030575e-09      -6.494241661854e-07       9.729652486072e-08       9.730709790597e-08       9.730709889340e-08       9.729625269977e-08       9.729915720710e-08       9.729915720710e-08       9.729915720710e-08       9.730693873298e-08       1.982349413979e-05       1.982349413979e-05       1.982349413979e-05       2.216395284234e-01       2.216395284234e-01       2.216395284234e-01       2.178113866522e-07       2.178113866522e-07       2.178113866522e-07 
       2.632725808083e-05      -2.563723719575e-04      -1.922941947555e-04      -1.922942148783e-04      -2.563714247304e-04      -2.268627943344e-04      -2.268627943344e-04      -2.268627943344e-04      -1.929701092271e-04       6.054320727589e-01       5.990703678929e-01       3.784129502538e-04       3.160421173035e-07       9.999959988403e-01      -1.266619140592e-09       3.923941421170e-09      -1.029246583795e-06       1.541946431438e-07       1.542212008701e-07       1.542212033504e-07       1.541939595552e-07       1.542012551378e-07       1.542012551378e-07       1.542012551378e-07       1.542208010540e-07       3.141685444460e-05       3.141685444460e-05       3.141685444460e-05       2.216392905523e-01       2.216392905523e-01       2.216392905523e-01       4.345772429188e-07       4.345772429188e-07       4.345772429188e-07 
       3.314405422082e-05      -4.063035202834e-04      -3.047651061528e-04      -3.047651566991e-04      -4.063011410894e-04      -3.595382621790e-04      -3.595382621790e-04      -3.595382621790e-04      -3.058361482047e-04       6.054303618791e-01       5.990690893929e-01       5.997431596459e-04       5.008918247023e-07       9.999936586500e-01      -2.007389417324e-09       6.218684251332e-09      -1.631192292033e-06       2.443570314959e-07       2.444237392504e-07       2.444237454805e-07       2.443553145919e-07       2.443736394313e-07       2.443736394313e-07       2.443736394313e-07       2.444227349908e-07       4.978917924682e-05       4.978917924682e-05       4.978917924682e-05       2.216389135459e-01       2.216389135459e-01       2.216389135459e-01       8.670526608953e-07       8.670526608953e-07       8.670526608953e-07 
       4.172589210848e-05      -6.438991881536e-04      -4.830184980265e-04      -4.830186249917e-04      -6.438932124212e-04      -5.697919756873e-04      -5.697919756873e-04      -5.697919756873e-04      -4.847154573294e-04       6.054276489929e-01       5.990670616267e-01       9.505264651775e-04       7.938570923984e-07       9.999899497913e-01      -3.181331479582e-09       9.855086873831e-09      -2.585130800989e-06       3.872169833900e-07       3.873845367846e-07       3.873845524334e-07       3.872126714908e-07       3.872586980897e-07       3.872586980897e-07       3.872586980897e-07       3.873820143303e-07       7.890254567657e-05       7.890254567657e-05       7.890254567657e-05       2.216383160151e-01       2.216383160151e-01       2.216383160151e-01       1.729861591331e-06       1.729861591331e-06       1.729861591331e-06 
       5.252978590515e-05      -1.020389642805e-03      -7.655286049226e-04      -7.655289238469e-04      -1.020374634534e-03      -9.029645670706e-04      -9.029645670706e-04      -9.029645670706e-04      -7.682167781549e-04       6.054233535294e-01       5.990638518051e-01       1.506476937727e-03       1.258171281936e-06       9.999840718824e-01      -5.041654918735e-09       1.561709153558e-08      -4.096818327718e-06       6.135397986959e-07       6.139606383252e-07       6.139606776338e-07       6.135289707402e-07       6.136445710750e-07       6.136445710750e-07       6.136445710750e-07       6.139543027329e-07       1.250320531934e-04       1.250320531934e-04       1.250320531934e-04       2.216373689552e-01       2.216373689552e-01       2.216373689552e-01       3.451098738764e-06       3.451098738764e-06       3.451098738764e-06 
       6.613108235210e-05      -1.616902693126e-03      -1.213270709583e-03      -1.213271510682e-03      -1.616865002476e-03      -1.430864152567e-03      -1.430864152567e-03      -1.430864152567e-03      -1.217527846717e-03       6.054165434861e-01       5.990587622349e-01       2.387590000130e-03       1.994048472058e-06       9.999747565984e-01      -7.989452129759e-09       2.474597542888e-08      -6.492170205519e-06       9.719988611043e-07       9.730558212816e-07       9.730559200187e-07       9.719716746921e-07       9.722619969121e-07       9.722619969121e-07       9.722619969121e-07       9.730399090860e-07       1.981120751541e-04       1.981120751541e-04       1.981120751541e-04       2.216358678677e-01       2.216358678677e-01       2.216358678677e-01       6.884489592178e-06       6.884489592178e-06       6.884489592178e-06 
       8.325410008251e-05      -2.561849848514e-03      -1.922878461155e-03      -1.922880473404e-03      -2.561755207751e-03      -2.267168549516e-03      -2.267168549516e-03      -2.267168549516e-03      -1.929617205419e-03       6.054057536264e-01       5.990506981491e-01       3.784037360257e-03       3.160307053487e-06       9.999599943156e-01      -1.265978372765e-08       3.920605076800e-08      -1.028726442511e-05       1.539519526434e-06       1.542173928714e-06       1.542174176723e-06       1.539451286020e-06       1.540180332596e-06       1.540180332596e-06       1.540180332596e-06       1.542133967411e-06       3.138599716116e-04       3.138599716116e-04       3.138599716116e-04       2.216334885628e-01       2.216334885628e-01       2.216334885628e-01       1.373207137016e-05       1.373207137016e-05       1.373207137016e-05 
