# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.06204e-05 to 11.102 h/Mpc,
# number of wavenumbers equal to 616
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:d_cb                  11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_cdm                 22:t_cb                  23:t_ur                  24:t_ncdm[0]             25:t_ncdm[1]             26:t_ncdm[2]             27:t_tot              
       1.062036233582e-05      -3.983053031926e-05      -2.987327413861e-05      -2.987327466470e-05      -3.983050593627e-05      -3.001646732924e-05      -3.001646732924e-05      -3.001646732924e-05      -2.994691461696e-05      -2.987375795678e-05       6.039829534491e-01       5.995303919035e-01       5.974654932937e-05       5.019340970907e-08       9.999994404417e-01      -1.489292393339e-10       4.362892117279e-10      -1.316092012173e-13       2.508553398879e-08       2.508620792529e-08       2.508620799012e-08       4.973612675848e-08       2.508551627368e-08       2.508617635134e-08       2.508617635134e-08       2.508617635134e-08       2.508620053551e-08 
       2.351912038232e-05      -1.953248657230e-04      -1.465027017288e-04      -1.465027143817e-04      -1.953242793294e-04      -1.472040709794e-04      -1.472040709794e-04      -1.472040709794e-04      -1.468637502360e-04      -1.465050830092e-04       6.039814222157e-01       5.995291643052e-01       2.930054287625e-04       2.461553269113e-07       9.999972558638e-01      -7.303456520111e-10       2.139507550219e-09      -6.454092013631e-13       1.230099245347e-07       1.230261325736e-07       1.230261341328e-07       2.439127604741e-07       1.230094985246e-07       1.230253732074e-07       1.230253732074e-07       1.230253732074e-07       1.230259548501e-07 
       3.646378223035e-05      -4.694614608919e-04      -3.521483966964e-04      -3.521484698021e-04      -4.694580731876e-04      -3.538305894605e-04      -3.538305894605e-04      -3.538305894605e-04      -3.530158474215e-04      -3.521541566090e-04       6.039787088449e-01       5.995269855938e-01       7.042969395991e-04       5.916826975563e-07       9.999934039951e-01      -1.755440226577e-09       5.142242710499e-09      -1.551281678361e-12       2.956236206350e-07       2.957172615756e-07       2.957172705840e-07       5.862922970639e-07       2.956211597558e-07       2.957128741877e-07       2.957128741877e-07       2.957128741877e-07       2.957162347807e-07 
       4.948927440600e-05      -8.646545784963e-04      -6.486683862914e-04      -6.486686343466e-04      -8.646430853683e-04      -6.517572434110e-04      -6.517572434110e-04      -6.517572434110e-04      -6.502651921766e-04      -6.486790919268e-04       6.039747932370e-01       5.995238410557e-01       1.297337268676e-03       1.089896459857e-06       9.999878501575e-01      -3.233334971280e-09       9.470872261982e-09      -2.857276455014e-12       5.444013621472e-07       5.447190670450e-07       5.447190976110e-07       1.079967318231e-06       5.443930146353e-07       5.447041805553e-07       5.447041805553e-07       5.447041805553e-07       5.447155832962e-07 
       6.263110639509e-05      -1.384608140851e-03      -1.038911265564e-03      -1.038911901862e-03      -1.384578664898e-03      -1.043837753000e-03      -1.043837753000e-03      -1.043837753000e-03      -1.041466473875e-03      -1.038928613223e-03       6.039696426484e-01       5.995197051466e-01       2.077823803678e-03       1.745581426090e-06       9.999805411494e-01      -5.178020522826e-09       1.516586714189e-08      -4.575740386471e-12       8.716075707422e-07       8.724224403670e-07       8.724225187710e-07       1.729679158270e-06       8.715861665037e-07       8.723842553055e-07       8.723842553055e-07       8.723842553055e-07       8.724135048916e-07 
       7.592568814427e-05      -2.034379516181e-03      -1.526767552776e-03      -1.526768926997e-03      -2.034315872559e-03      -1.533969513269e-03      -1.533969513269e-03      -1.533969513269e-03      -1.530518521058e-03      -1.526793418314e-03       6.039632042988e-01       5.995145348541e-01       3.053537853898e-03       2.565272545891e-06       9.999714043549e-01      -7.608604493543e-09       2.228248579686e-08      -6.723533343931e-12       1.280333161532e-06       1.282092778028e-06       1.282092947360e-06       2.541903382727e-06       1.280286957699e-06       1.282010313038e-06       1.282010313038e-06       1.282010313038e-06       1.282073482547e-06 
       8.941065779052e-05      -2.820469886513e-03      -2.117242438192e-03      -2.117245080949e-03      -2.820347530069e-03      -2.127166088577e-03      -2.127166088577e-03      -2.127166088577e-03      -2.122437164125e-03      -2.117278929727e-03       6.039554117027e-01       5.995082767333e-01       4.234490161711e-03       3.557377005160e-06       9.999603463355e-01      -1.054965249917e-08       3.089175596517e-08      -9.322334781992e-12       1.774547665030e-06       1.777930975904e-06       1.777931301540e-06       3.524970796737e-06       1.774458863938e-06       1.777772395524e-06       1.777772395524e-06       1.777772395524e-06       1.777893874581e-06 
       1.031252239869e-04      -3.750943352527e-03      -2.816551842503e-03      -2.816556519389e-03      -3.750726894057e-03      -2.829652915079e-03      -2.829652915079e-03      -2.829652915079e-03      -2.823451442074e-03      -2.816601367571e-03       6.039461841192e-01       5.995008659460e-01       5.633113038450e-03       4.732335491095e-06       9.999472510605e-01      -1.403165616339e-08       4.108177071132e-08      -1.239904725550e-11       2.359167766921e-06       2.365153972080e-06       2.365154548344e-06       4.689227236825e-06       2.359010726999e-06       2.364873347694e-06       2.364873347694e-06       2.364873347694e-06       2.365088325695e-06 
       1.171105272264e-04      -4.835577721505e-03      -3.632244409902e-03      -3.632252188034e-03      -4.835217874278e-03      -3.648988797841e-03      -3.648988797841e-03      -3.648988797841e-03      -3.641125779156e-03      -3.632309753027e-03       6.039354221512e-01       5.994922224620e-01       7.264504375522e-03       6.102827006084e-06       9.999319776728e-01      -1.809160264437e-08       5.295932708049e-08      -1.598630841140e-11       3.040143739651e-06       3.050097049344e-06       3.050098007712e-06       6.047236540077e-06       3.039882780993e-06       3.049630369964e-06       3.049630369964e-06       3.049630369964e-06       3.049987895156e-06 
       1.314100245985e-04      -6.086050741905e-03      -4.573352819907e-03      -4.573365150894e-03      -6.085480523745e-03      -4.594216534472e-03      -4.594216534472e-03      -4.594216534472e-03      -4.584511516622e-03      -4.573437236231e-03       6.039230070340e-01       5.994822506693e-01       9.146730300922e-03       7.684022855950e-06       9.999143576889e-01      -2.277378709657e-08       6.665194961942e-08      -2.012312410427e-11       3.824565564742e-06       3.840340693155e-06       3.840342212460e-06       7.614032240256e-06       3.824152246642e-06       3.839600895069e-06       3.839600895069e-06       3.839600895069e-06       3.840167686991e-06 
       1.460699024190e-04      -7.516166406183e-03      -5.650578638364e-03      -5.650597462928e-03      -7.515296380967e-03      -5.676046814796e-03      -5.676046814796e-03      -5.676046814796e-03      -5.664332020671e-03      -5.650685970753e-03       6.039087996755e-01       5.994708387899e-01       1.130119492454e-02       9.493896887661e-06       9.998941914294e-01      -2.813031318164e-08       8.231034846542e-08      -2.485563902710e-11       4.720790939272e-06       4.744865532428e-06       4.744867851752e-06       9.407424996224e-06       4.720160658033e-06       4.743736253241e-06       4.743736253241e-06       4.743736253241e-06       4.744601494906e-06 
       1.611395211111e-04      -9.142126826042e-03      -6.876515834196e-03      -6.876543713797e-03      -9.140839095548e-03      -6.907080422030e-03      -6.907080422030e-03      -6.907080422030e-03      -6.893206491445e-03      -6.876650652255e-03       6.038926325193e-01       5.994578513395e-01       1.375308742564e-02       1.155360083066e-05       9.998712440783e-01      -3.422285289546e-08       1.001113702583e-07      -3.023806473055e-11       5.738597826802e-06       5.774239791935e-06       5.774243226797e-06       1.144837455194e-05       5.737665532109e-06       5.772567468996e-06       5.772567468996e-06       5.772567468996e-06       5.773848871062e-06 
       1.766718965298e-04      -1.098285652007e-02      -8.265919408639e-03      -8.265959693644e-03      -1.098099708736e-02      -8.302075054700e-03      -8.302075054700e-03      -8.302075054700e-03      -8.285918920330e-03      -8.266087187737e-03       6.038743130371e-01       5.994431338229e-01       1.653191938446e-02       1.388791487012e-05       9.998452407871e-01      -4.112322440776e-08       1.202615083141e-07      -3.633379237015e-11       6.889364264543e-06       6.940844305500e-06       6.940849268585e-06       1.376143626104e-05       6.888019031275e-06       6.938428126570e-06       6.938428126570e-06       6.938428126570e-06       6.940279642433e-06 
