# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04863e-05 to 26.3672 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:H_T_Nb_prime          14:t_g                   15:t_b                   16:t_cdm                 17:t_ur                  18:t_tot              
       1.048626272669e-05      -4.057492920978e-05      -3.043156986342e-05      -3.043157036690e-05      -4.057490550567e-05      -3.055001294681e-05       6.056555280453e-01       5.988243627079e-01       5.985206465861e-05       5.009208015654e-08       9.999993640229e-01      -2.077092409390e-10       6.673441791411e-10       2.508959063737e-08       2.509025581421e-08       2.509025587636e-08       2.508957350199e-08       2.509024543986e-08 
       1.320142262138e-05      -6.430644302144e-05      -4.823076908609e-05      -4.823077035078e-05      -6.430638347983e-05      -4.841848355179e-05       6.056552278506e-01       5.988241392188e-01       9.485910170704e-05       7.939057214946e-08       9.999989920481e-01      -3.291957737011e-10       1.057659532143e-09       3.976368797833e-08       3.976535881824e-08       3.976535897434e-08       3.976364493687e-08       3.976533275917e-08 
       1.661960640989e-05      -1.019176307014e-04      -7.644057619822e-05      -7.644057937502e-05      -1.019174811413e-04      -7.673807061154e-05       6.056547988231e-01       5.988238330660e-01       1.503414861494e-04       1.258255002215e-07       9.999984025072e-01      -5.217354366441e-10       1.676252931217e-09       6.301959998594e-08       6.302379691034e-08       6.302379730243e-08       6.301949187343e-08       6.302373145348e-08 
       2.092284484343e-05      -1.615255130685e-04      -1.211500456522e-04      -1.211500536318e-04      -1.615251374002e-04      -1.216215099582e-04       6.056541227739e-01       5.988233512805e-01       2.382750521464e-04       1.994197839407e-07       9.999974681509e-01      -8.268834942001e-10       2.656620504586e-09       9.987531922193e-08       9.988586127956e-08       9.988586226449e-08       9.987504766878e-08       9.988569686164e-08 
       2.634030106042e-05      -2.559930263731e-04      -1.920096169600e-04      -1.920096370040e-04      -2.559920827691e-04      -1.927567557079e-04       6.056530309535e-01       5.988225671086e-01       3.776401294587e-04       3.160585839933e-07       9.999959873158e-01      -1.310494093848e-09       4.210305617675e-09       1.582816346084e-07       1.583081145003e-07       1.583081169743e-07       1.582809525450e-07       1.583077015101e-07 
       3.316047435928e-05      -4.057023654080e-04      -3.043140676685e-04      -3.043141180167e-04      -4.056999953140e-04      -3.054979972670e-04       6.056513009058e-01       5.988213246421e-01       5.985183196897e-04       5.009179070812e-07       9.999936403871e-01      -2.076921348752e-09       6.672497554430e-09       2.508341692263e-07       2.509006814811e-07       2.509006876955e-07       2.508324561524e-07       2.508996441324e-07 
       4.174656383804e-05      -6.429465885629e-04      -4.823036154879e-04      -4.823037419558e-04      -6.429406356852e-04      -4.841795012336e-04       6.056485552774e-01       5.988193517458e-01       9.485852167800e-04       7.938983960529e-07       9.999899208517e-01      -3.291519414201e-09       1.057422346527e-08       3.974817854860e-07       3.976488478539e-07       3.976488634632e-07       3.974774832038e-07       3.976462422937e-07 
       5.255581007080e-05      -1.018880296824e-03      -7.643955082695e-04      -7.643958259446e-04      -1.018865345974e-03      -7.673672903060e-04       6.056442103387e-01       5.988162313787e-01       1.503400254801e-03       1.258236647861e-06       9.999840260181e-01      -5.216258261634e-09       1.675657235081e-08       6.298064774898e-07       6.302260839022e-07       6.302261231115e-07       6.297956736954e-07       6.302195395981e-07 
       6.616384483556e-05      -1.614511603498e-03      -1.211474661878e-03      -1.211475459839e-03      -1.614474056998e-03      -1.216181362794e-03       6.056373223305e-01       5.988112836960e-01       2.382713755331e-03       1.994151831630e-06       9.999746839461e-01      -8.266084550648e-09       2.655124349369e-08       9.977749458276e-07       9.988288090475e-07       9.988289075360e-07       9.977478200307e-07       9.988123727530e-07 
       8.329534560549e-05      -2.558062877834e-03      -1.920031375911e-03      -1.920033380270e-03      -2.557968598868e-03      -1.927482816919e-03       6.056264049417e-01       5.988034402576e-01       3.776308932903e-03       3.160470296435e-06       9.999598792811e-01      -1.309803048904e-08       4.206548212731e-08       1.580359669284e-06       1.583006295325e-06       1.583006542707e-06       1.580291580837e-06       1.582965018185e-06 
       1.048626272669e-04      -4.052334096849e-03      -3.042977940317e-03      -3.042982975043e-03      -4.052097409729e-03      -3.054767146337e-03       6.056091077209e-01       5.987910141518e-01       5.984951224491e-03       5.008888847113e-06       9.999364192601e-01      -2.075186548544e-08       6.663061581681e-08       2.502173024984e-06       2.508818823240e-06       2.508819444620e-06       2.502002185299e-06       2.508715175473e-06 
       1.320142262138e-04      -6.417690660892e-03      -4.822627467797e-03      -4.822640114279e-03      -6.417096655924e-03      -4.841260557774e-03       6.055817012378e-01       5.987713217981e-01       9.485269584849e-03       7.938255000306e-06       9.998992471671e-01      -3.287163355966e-08       1.055053145382e-07       3.959331709490e-06       3.976016346757e-06       3.976017907500e-06       3.958903342492e-06       3.975756137421e-06 
       1.661960640989e-04      -1.015924233770e-02      -7.642928742654e-03      -7.642960508156e-03      -1.015775235628e-02      -7.672330858821e-03       6.055382889266e-01       5.987401226871e-01       1.503253939283e-02       1.258053584431e-05       9.998403572940e-01      -5.205321595297e-08       1.669710024686e-07       6.259200668859e-06       6.301075359863e-06       6.301079279881e-06       6.258127691274e-06       6.300422308808e-06 
       2.092284484343e-04      -1.607093230322e-02      -1.211216950427e-02      -1.211224929319e-02      -1.606719794286e-02      -1.215844433500e-02       6.054695363417e-01       5.986906942526e-01       2.382346317107e-02       1.993692169095e-05       9.997470831828e-01      -8.238633021817e-08       2.640201292660e-07       9.880267748829e-06       9.985312132321e-06       9.985321977575e-06       9.877584586748e-06       9.983673990275e-06 
       2.634030106042e-04      -2.539456297317e-02      -1.919384414458e-02      -1.919404455394e-02      -2.538521567785e-02      -1.926637200980e-02       6.053607058436e-01       5.986124081431e-01       3.775386338089e-02       3.159316346907e-05       9.995994043826e-01      -1.302915644621e-07       4.169125581762e-07       1.555929204715e-05       1.582259487581e-05       1.582261960042e-05       1.555260001014e-05       1.581848898283e-05 
       3.316047435928e-04      -4.005705814787e-02      -3.041354315709e-02      -3.041404653197e-02      -4.003370960148e-02      -3.052645843194e-02       6.051885557721e-01       5.984884622578e-01       5.982635128142e-02       5.005993053492e-05       9.993657268317e-01      -2.057918800490e-07       6.569308830143e-07       2.441028216124e-05       2.506945843110e-05       2.506952051596e-05       2.439366159374e-05       2.505918036390e-05 
       4.174656383804e-04      -6.300999592614e-02      -4.818554942208e-02      -4.818681369802e-02      -6.295186501764e-02      -4.835943152030e-02       6.049165556553e-01       5.982923457023e-01       9.479457223110e-02       7.930992186781e-05       9.989963186260e-01      -3.243917088477e-07       1.031602110982e-06       3.806621892981e-05       3.971323205550e-05       3.971338792131e-05       3.802521640749e-05       3.968755530209e-05 
       5.255581007080e-04      -9.867846265355e-02      -7.632722118231e-02      -7.633039628823e-02      -9.853448779689e-02      -7.659017953578e-02       6.044875622977e-01       5.979823360230e-01       1.501796074214e-01       1.256233668478e-04       9.984132109599e-01      -5.097199324036e-07       1.611194126991e-06       5.879086768764e-05       6.289332658242e-05       6.289371776063e-05       5.869080548367e-05       6.282938527692e-05 
